question,answer,category
معهد ITI إيه هو وخبرته قد إيه؟,معهد تكنولوجيا المعلومات ITI عنده رحلة أكتر من 25 سنة في مجال بناء القدرات في تكنولوجيا المعلومات والاتصالات (ICT capacity development)، وبيجهز كوادر عالية المهارة تقدر تساهم في تنمية البلد وتطور الإنسانية.,General / Vision & Mission
مين اللي كتبت رسالة رئيسة مجلس إدارة ITI في البروشور؟,"الدكتورة هبة صالح (Heba Saleh, PhD).",General / Vision & Mission
رؤية (Vision) ITI إيه؟,رؤية ITI إنه يكون مرجع رئيسي (A Reference Hub) في تنمية المواهب الاحترافية في مجال تكنولوجيا المعلومات والاتصالات.,General / Vision & Mission
رسالة (Mission) ITI إيه؟,رسالة ITI هي دعم الشباب المصري لتحسين فرصهم المهنية عن طريق تطوير مهاراتهم وتجهيزهم للوظائف المطلوبة بشدة والتقنيات المرتبطة بيها، عشان يلبوا احتياجات النهارده وتوقعات بكرة.,General / Vision & Mission
إيه هي قيم (Values) ITI؟,"القيم هي: Professionalism (الاحترافية)، Openness (الانفتاح)، Loyalty (الولاء)، Extra Mile (بذل مجهود إضافي)، Passion (الشغف)، وElation (البهجة)، وشعار المعهد ""People Develop Countries. We Develop PEOPLE"".",General / Vision & Mission
منهجية (Methodology) ITI في تصميم البرامج قايمة على إيه؟,قايمة على 3 محاور: دراسة احتياجات السوق (Studying Market Demand)، ومراعاة استراتيجية مصر القومية (Reflecting Egypt's National Strategy)، ودراسة اتجاهات التكنولوجيا الجديدة (Studying New Technology Trends).,General / Vision & Mission
ITI موجود في أنهي محافظات في مصر؟,المقر الرئيسي في Smart Village، وليه فروع في الإسكندرية والمنصورة والمنوفية والإسماعيلية والمنيا وأسيوط وسوهاج وقنا وأسوان.,General / Vision & Mission
التخصصات التدريبية الرئيسية اللي بيقدمها ITI إيه؟,بتغطي حوالي 30 تخصص في مجال الـICT، زي الذكاء الاصطناعي، علم البيانات، تطوير الألعاب، والتسويق الرقمي، وغيرها من الملفات الوظيفية المطلوبة بشدة.,Programs
تراك Infrastructure and Security في ITI بيغطي إيه؟,بيغطي Cloud Architecture وCyber Security وSystems Administration.,Programs
تراك Engineering and Industrial Systems في ITI بيغطي إيه؟,بيغطي Digital IC Design وEmbedded Systems وIndustrial Automation وMechatronics وWireless Communications.,Programs
تراك Information Systems and Data Science في ITI بيغطي إيه؟,بيغطي Artificial Intelligence وData Management وERP Consulting وGeo-Informatics وCivil Engineering Informatics.,Programs
تراك Media and Entertainment في ITI بيغطي إيه؟,بيغطي 2D and 3D Animation وGame Art and Programming وVFX Compositing وe-Content Development.,Programs
تراك Software Development and Testing في ITI بيغطي إيه؟,بيغطي Digital Marketing وCloud Platform Development وEnterprise and Web Apps Development وInternet of Things Apps Development وMobile Apps Development وOpen Source Apps Development.,Programs
