question,answer,track
مبادرة DEPI الكتالوج ده بتاع أنهي جولة (Round)؟,الكتالوج ده بتاع الجولة التالتة (Round 3) في مبادرة DEPI، وبيغطي الفترة من يونيو لحد ديسمبر 2025.,General
الـ 6 تراكات التكنولوجية في DEPI Round 3 إيه هي؟,التراكات هي: Software Development، Digital Marketing & Art، AI & Data Science، Data Analytics، Infrastructure & Security، وManagement & ERP.,General
إيه هي أهداف دراسة كل job profile في DEPI؟,الأهداف إنها تدي المتدرب الخلفية التقنية والخبرة اللازمة للتقنية المختارة (بما في ذلك كل المتطلبات السابقة)، وتوجهه لتطوير منتج بجودة احترافية، وتشرحله مراحل دورة حياة تطوير المنتج، وتديله تدريب عملي (hands-on) يعمق فهمه للتقنيات.,General
تراك Software Development في DEPI Round 3 بيغطي إيه؟,بيقدم كورسات في تقنيات تطوير الويب (فرونت إند وباك إند) على منصات مختلفة، وتطوير الموبايل، وتطوير تطبيقات الكلاود، والـ DevOps، وSoftware Testing.,Software Development
كام job profile موجود في تراك Software Development في Round 3؟,في 7 وظائف: DevOps Engineer، React Frontend Web Developer، Angular Frontend Web Developer، Full Stack .Net Web Developer، Android Mobile App Developer، Cross Platform Mobile App Developer، وSoftware Tester.,Software Development
مين الـ DevOps Engineer وهو بيعمل إيه في DEPI Round 3؟,DevOps Engineer مسؤول عن تسهيل تشغيل البنية التحتية لتكنولوجيا المعلومات في الشركة، وبيجمع بين مهام تقنية وإدارية زي بناء أدوات التطوير، تنفيذ التكاملات، نشر التحديثات، وأتمتة العمليات.,Software Development
إيه أهم التقنيات اللي بيتعلمها متدرب DevOps Engineer؟,أهم التقنيات اللي بيتعلمها DevOps Engineer هي Ansible وDocker وJenkins وKubernetes وPrometheus وTerraform.,Software Development
مين الـ React Frontend Web Developer وهو بيعمل إيه في DEPI Round 3؟,React Frontend Web Developer بيكون عنده معرفة شاملة بأساسيات تطوير الويب زي HTML وCSS وJavaScript، ومتخصص في بناء تطبيقات React، وبيتعلم كمان Git وGitHub وNodeJS والـ Docker.,Software Development
إيه أهم التقنيات اللي بيتعلمها متدرب React Frontend Web Developer؟,أهم التقنيات اللي بيتعلمها React Frontend Web Developer هي React وNodeJS + Express، ومشروعه الختامي بيجمع الاتنين مع بعض.,Software Development
مين الـ Angular Frontend Web Developer وهو بيعمل إيه في DEPI Round 3؟,Angular Frontend Web Developer متمكن من HTML5 وCSS مع التركيز على مبادئ UX/UI، وJavaScript، وBootstrap، وAngular لبناء تطبيقات Single Page قوية.,Software Development
إيه أهم التقنيات اللي بيتعلمها متدرب Angular Frontend Web Developer؟,أهم التقنيات اللي بيتعلمها Angular Frontend Web Developer هي Angular وTypescript وBootstrap.,Software Development
مين الـ Full Stack .Net Web Developer وهو بيعمل إيه في DEPI Round 3؟,Full Stack .Net Web Developer متأسس على تقنيات .NET، وبيتقن C# للباك إند، وHTML5 وJavaScript وCSS3 للفرونت إند، بالإضافة لـ .NET Core Web API وMVC لبناء خدمات وتطبيقات ويب حديثة وقابلة للتوسع.,Software Development
إيه أهم التقنيات اللي بيتعلمها متدرب Full Stack .Net Web Developer؟,أهم التقنيات اللي بيتعلمها Full Stack .Net Web Developer هي C# وSQL Server وNET Core Web API وDeveloping .NET Core MVC Web Applications.,Software Development
مين الـ Android Mobile App Developer وهو بيعمل إيه في DEPI Round 3؟,Android Mobile App Developer مسؤول عن تصميم وتطوير وصيانة تطبيقات أندرويد، وبيتعلم تقنيات زي Kotlin وAndroid Compose عشان يبني تطبيقات native للأندرويد.,Software Development
إيه أهم التقنيات اللي بيتعلمها متدرب Android Mobile App Developer؟,أهم التقنيات اللي بيتعلمها Android Mobile App Developer هي Kotlin وAndroid MDC وAndroid Compose وAndroid Security Essentials.,Software Development
