question,answer
إيه هو برنامج Upskilling؟,برنامج من NTI لتطوير مهارات الشباب في الاتصالات وتكنولوجيا المعلومات، وبيقدم training units تقنية وsoft skills مرتبطة باحتياجات سوق العمل.
مين يقدر يقدم؟,المصري اللي عنده مؤهل مناسب أو طالب في السنوات النهائية بجامعة مصرية، مع استيفاء متطلبات الـtrack واجتياز اختبارات القبول.
هل المنحة ممولة بالكامل؟,أيوه، البرنامج بيمول 100% من تكلفة التدريب حسب الصفحة الرسمية.
هل الموظفين يقدروا يقدموا؟,أيوه، الـEvening Program مصمم كمان للعاملين والناس اللي مش قادرين يلتزموا بتدريب full-time.
التدريب أونلاين ولا حضوري؟,الاتنين متاحين حسب الـtraining unit: Interactive Live Sessions أونلاين، أو تدريب حضوري في مقرات NTI والفروع ومراكز الابتكار.
هل الأونلاين live؟,أيوه، المحاضرات بتكون Interactive Live Sessions في الوقت الحقيقي.
هل فيه practical training؟,أيوه، التدريب بيجمع بين النظري والعملي حسب محتوى الـtraining unit.
كام ساعة في الأسبوع؟,الصفحة الرسمية بتذكر 12 ساعة أسبوعيًا للـtraining units المختلفة.
ينفع أسجل في أكتر من unit؟,لأ، مسموح بـtraining unit واحدة فقط في نفس الفترة.
ينفع آخد units من برامج مختلفة؟,أيوه، ممكن بشرط استيفاء شروط كل training unit.
كل unit لها امتحان قبول؟,أيوه، كل training unit لها شروطها واختبار قبولها حتى لو كانت في نفس الـtraining axis.
باخد شهادة لكل unit؟,أيوه، بيتم إصدار شهادة حضور منفصلة لكل training unit وتشمل تقييم المتدرب.
لو أونلاين محتاج لابتوب؟,أيوه، لازم computer مناسب للـtraining unit واتصال إنترنت مناسب.
إمتى التسجيل بيفتح؟,بيتم الإعلان عن التسجيل لما تكون training units المتاحة جاهزة للالتحاق.
إمتى بيكلموني للـinterview؟,بيتم إرسال موعد الـpersonal interview خلال أسبوعين من غلق التسجيل.
نسيت الباسورد؟,حسب الـFAQ مفيش username أو password؛ الدخول بيكون باستخدام الإيميل والرقم القومي.
كتبت بيانات غلط أعمل إيه؟,ابعت إيميل إلى training.department@nti.sci.eg باسمك بالكامل والرقم القومي لطلب التصحيح.
الشهادة بتطلع إمتى؟,خلال شهر من إتمام الـtraining unit وبتتبعت على الإيميل.
عايز أنسحب أعمل إيه؟,ابعت withdrawal request قبل بداية التدريب بـ48 ساعة على الأقل إلى training.department@nti.sci.eg، مع الاسم والرقم القومي والـunit ورقم التسجيل.
عايز أأجل التدريب؟,ابعت deferral request قبل البداية بـ48 ساعة على الأقل، وهيتم وضعك على waiting list.
غير المصريين ينفع يقدموا؟,لأ، المنحة متاحة للمصريين فقط.
إيه أمثلة للتخصصات؟,"منها Networks & Security، Embedded Systems, AI & IoT، Cloud Computing، Information Technology، Fiber Optics، Wireless & Mobile Communication Networks، وCareer Development."
إيه هي Huawei ETA؟,هي Egyptian Talents Academy، تعاون بين NTI وHuawei Egypt لتطوير مهارات الطلاب والخريجين المصريين في تقنيات ICT المتقدمة.
بتدرب في إيه؟,من المجالات Data Communications وSecurity و5G وAI وCloud Computing وBig Data وغيرها.
هل موجودة في المحافظات؟,أيوه، التدريب بيتم من خلال فروع NTI وCreativa Innovation Hubs في محافظات مصر.
مين يقدر يقدم؟,المصري صاحب مؤهل مناسب أو طالب سنة نهائية في جامعة مصرية، مع استيفاء prerequisites وتقديم المستندات واجتياز اختبارات القبول.
هل غير المصريين يقدروا يقدموا؟,لأ، البرنامج متاح للمصريين فقط.
التدريب أونلاين؟,الـFAQ بتوضح إن التدريب بيتم في مقرات NTI أو مراكز Creativa.
هل فيه تدريب عملي؟,أيوه، فيه نظري وعملي حسب محتوى الـtraining unit.
مدة أول مستوى كام؟,وحدات المستوى الأول مدتها 70 ساعة دراسية على الأقل، والمدة بتزيد حسب مستوى التدريب.
الموظفين يقدروا يدخلوا؟,المستويات المتقدمة اللي بتوصل لـExpert مسموح فيها للموظفين لتحسين كفاءتهم.
أقدر أسجل في أكتر من unit؟,لأ، مسموح بوحدة تدريب واحدة في نفس الوقت.
هل لازم أمشي بترتيب معين؟,الترتيب بيعتمد على متطلبات التخصص والوحدة والـprerequisites.
هل كل unit لها admission test؟,أيوه، كل training unit لها شروط واختبار قبول خاص بها.
باخد شهادة لكل unit؟,أيوه، شهادة حضور لكل unit بشكل منفصل وتشمل تقييم المتدرب.
نسبة الحضور كام؟,لازم الحضور يكون على الأقل 80% من إجمالي ساعات البرنامج.
هل فيه امتحانات؟,أيوه، لازم تكمل البرنامج وتنجح في الاختبارات المطلوبة للحصول على شهادات الحضور وإتمام الكورس.
إيه مستويات Huawei؟,المسار ممكن يبدأ من الأساسيات ويتدرج إلى HCIA ثم HCIP ثم HCIE حسب الـtrack والمستوى.
إمتى بيكلموني للـinterview؟,بيتم إرسال الإيميل بموعد المقابلة خلال أسبوعين من غلق التسجيل.
لو بياناتي غلط؟,ابعت إلى ETA@nti.sci.eg باسمك بالكامل والرقم القومي لطلب التصحيح.
إمتى أعتبر مقبول؟,بعد استيفاء شروط الـunit، وإتمام الـpersonal interview، وتقديم كل المستندات المطلوبة.
الشهادة بتطلع إمتى؟,خلال شهر من إتمام الـtraining unit وبتتبعت على الإيميل.
عايز أنسحب من ETA؟,ابعت withdrawal request قبل البداية بـ48 ساعة على الأقل إلى ETA@nti.sci.eg مع بياناتك ورقم التسجيل.
عايز أأجل؟,ابعت deferral request قبل البداية بـ48 ساعة على الأقل إلى ETA@nti.sci.eg، وهيتم وضعك على waiting list.
إيه هي HireReady؟,منحة كاملة ضمن Digital Egypt Youth لتأهيل خريجي الجامعات المصرية حديثي التخرج بمهارات مطلوبة في سوق الـICT.
مين يقدر يقدم؟,الخريجون المصريون من الجامعات المصرية اللي ماعداش على تخرجهم خمس سنوات، مع استيفاء شروط الـtrack والقبول.
هل الطلاب يقدروا يقدموا؟,الصفحة الرسمية بتستهدف fresh Egyptian university graduates خلال خمس سنوات من التخرج.
عدد المستهدفين كام؟,الصفحة الرسمية تذكر 2500 fresh graduates من الجامعات المصرية على مستوى الجمهورية.
مدتها قد إيه؟,4 شهور: 3 شهور تدريب في NTI وشهر on-the-job training في شركة داعمة للـtrack.
أونلاين ولا حضوري؟,حضوري في مقرات المعهد.
كام يوم في الأسبوع؟,5 أيام أسبوعيًا.
كام ساعة يوميًا؟,7 ساعات يوميًا حسب شروط البرنامج.
هل التدريب صباحي؟,أيوه، الجلسات التدريبية بتكون صباحًا حسب الصفحة الرسمية.
هل فيه on-the-job training؟,أيوه، شهر تدريب عملي في مقر أحد شركاء الصناعة.
هل فيها soft skills؟,أيوه، فيها technical وpersonal/soft skills upskilling.
هل فيه شهادات؟,أيوه، بعد اجتياز الـtrack بيتم الحصول على شهادات مشتركة من NTI وشركاء الصناعة.
هل فيه شركات شريكة؟,أيوه، NTI متعاون مع أكثر من 75 شريكًا من الشركات الوطنية ومتعددة الجنسيات.
عدد الـtracks؟,أكثر من 30 professional track حسب الصفحة الرسمية.
هل فيه فرصة ربط بالتوظيف؟,المبادرة بتسعى لربط المتدربين المميزين بفرص العمل من خلال شركاء الصناعة، مع on-the-job training.
هل فيه allowance؟,الصفحة الرسمية تذكر monthly allowance خلال فترة التدريب داخل المقر، والمذكور 3 شهور.
هل محتاج GPA معين؟,لأ، مفيش GPA محدد حسب الـFAQ، لكن لازم تختار تخصص مؤهل وتنجح في اختبارات القبول.
هل NTI بيوفر لابتوب؟,يفضل يكون عندك laptop، ولو مش متاح فالـNTI بتوفر جهاز خلال فترة التدريب في المقر.
لو استفدت من HireReady قبل كده أقدر أقدم تاني؟,الـFAQ بتوضح إن الاستفادة من HireReady وDigital Egypt Youth تكون مرة واحدة.
لو كتبت بيانات غلط؟,ابعت إلى D4m@nti.sci.eg باسمك بالكامل والرقم القومي لطلب التصحيح.
إمتى النتيجة؟,النتائج بتعلن خلال أسبوعين بعد المقابلة، وبعدها المقبولون يتم التواصل معاهم لاستكمال الأوراق.
هل غير المصريين ينفع؟,لأ، المنحة متاحة للمصريين فقط.
هل لازم ألتزم بالحضور؟,أيوه، البرنامج full-time حضوري ويلزم الالتزام بالحضور.
نسبة الحضور كام؟,لازم تحقق 75% على الأقل من إجمالي ساعات التدريب.
إيه هي CIT Career Launch؟,منحة وطنية تحت مظلة Digital Egypt Youth وتركز على Cybersecurity وDevOps وTelecom Networks.
مدتها قد إيه؟,6 شهور.
مين المستهدف؟,Fresh graduates من الجامعات المصرية على مستوى الجمهورية.
إيه التخصصات؟,Cybersecurity وDevOps وTelecom Networks.
هل فيها multi-role training؟,أيوه، الهدف إن المتدرب يكتسب مهارات لأكتر من job role داخل التخصص المختار.
هل فيها مشاريع عملية؟,أيوه، فيها real-world projects بالتعاون مع شركاء الصناعة.
هل فيها English؟,أيوه، الـsoft skills تشمل English Oral Communication.
التدريب حضوري؟,أيوه، التدريب بالحضور في مقرات المعهد.
نظام الأسبوع إيه؟,4 أيام أسبوعيًا بمعدل 6.5 ساعات يوميًا.
هل فيه مواصلات؟,الصفحة الرسمية تذكر مواصلات مناسبة ومجانية من أي مكان في القاهرة إلى مقر التدريب.
هل فيه allowance؟,الصفحة تذكر monthly allowance خلال فترة التدريب داخل المقر، والمذكور 3 شهور.
هل لازم GPA؟,لأ، مفيش GPA محدد حسب الـFAQ، لكن لازم تخصص مؤهل ونجاح في اختبارات القبول.
هل الموظف يقدر يشارك؟,البرنامج يتطلب التزامًا كاملًا بالحضور اليومي، فلازم المتقدم يقدر يلتزم بمواعيد التدريب.
هل فيه لابتوب؟,يفضل يكون عندك laptop، ولو مش متاح فالـNTI بتوفر جهاز أثناء التدريب في المقر.
لو أخدت HireReady قبل كده؟,الـFAQ بتوضح إن الاستفادة من CIT Career Launch وHireReady وDigital Egypt Youth تكون مرة واحدة.
إمتى الاختبارات؟,بعد غلق التقديم بيتم التواصل مع المتقدمين لتحديد اختبارات القبول والحضور في الموعد المحدد.
إمتى النتيجة؟,النتائج بتعلن خلال أسبوعين من المقابلة.
لو بياناتي غلط؟,ابعت إلى D6m@nti.sci.eg باسمك بالكامل والرقم القومي لطلب التصحيح.
هل غير المصريين يقدروا يقدموا؟,لأ، المنحة متاحة للمصريين فقط.
إيه المستندات؟,صورة شهادة التخرج، صورة بطاقة الرقم القومي، وإقرار موقع من المتدرب، مع أي مستندات إضافية يطلبها البرنامج.
نسبة الحضور كام؟,75% على الأقل من إجمالي ساعات التدريب.
ينفع أنشر محتوى التدريب؟,لأ، لازم الحفاظ على حقوق الملكية الفكرية وعدم نشر مواد الكورس.
إيميل المبادرة إيه؟,D6m@nti.sci.eg.
عايز أنسحب؟,ابعت طلب الانسحاب قبل بداية التدريب بـ48 ساعة على الأقل إلى D6m@nti.sci.eg مع بياناتك ورقم التسجيل.
إيه الـOpen Calls الموجودة على صفحة DEY؟,الصفحة الرسمية بتعرض DEY-HireReady وDEY in Creativa وNTI-Huawei ETA وDEY Upskilling Programs.
إيه الفرق بين Creativa وHireReady؟,Creativa بتقدم مسارات تدريب في مراكز بالمحافظات وتركز على مهارات تقنية وسوق الـfreelancing، بينما HireReady برنامج مكثف للخريجين الجدد ومدته 4 شهور.
إيه الفرق بين ETA وCreativa؟,ETA برنامج تعاون NTI وHuawei ويركز على تقنيات Huawei وICT المتقدمة، بينما Creativa منظومة مراكز بتقدم مسارات مختلفة حسب المحافظة.
إيه الفرق بين Upskilling وHireReady؟,Upskilling أكثر مرونة ويستهدف طلاب وخريجين وعاملين، بينما HireReady موجه للخريجين الجدد بنظام full-time حضوري.
إيه الفرق بين Career Launch وHireReady؟,Career Launch مدته 6 شهور ويركز على Cybersecurity وDevOps وTelecom، بينما HireReady مدته 4 شهور وتشمل شهر on-the-job training.
لو أنا Data Analyst، إيه المسارات المناسبة؟,موقع NTI يعرض Data Analysis وMachine Learning for Data Analysis ضمن Creativa، ويوجد AI in Data Analysis ضمن HireReady في التصنيفات الحالية. لازم تراجع الـprerequisites والـcall المفتوح.
لو عايز Cybersecurity؟,فيه Cybersecurity ضمن Creativa وUpskilling، وكمان Cybersecurity أحد تخصصات CIT Career Launch.
لو عايز AI وML؟,موقع NTI يعرض Machine Learning for Data Analysis وAI For Business ضمن Creativa، كما يعرض Machine Learning وNLP وDeep Learning ضمن Upskilling.
هل كل البرامج مفتوحة طول السنة؟,لأ. Creativa بتذكر إن التسجيل مفتوح طوال السنة، لكن برامج أخرى بيتم فتحها حسب الـtraining units المتاحة.
فين أشوف الـtracks الحالية؟,راجع صفحة DEY الرسمية وصفحات Open Calls وTracks by Governorate أو Category على موقع NTI.
