question,answer,track
مبادرة DEPI (Digital Egypt Pioneers Initiative) دي إيه؟,هي مبادرة رواد مصر الرقمية التابعة لوزارة الاتصالات وتكنولوجيا المعلومات، بتقدم تدريب احترافي في 6 تراكات تكنولوجية بتغطي وظائف مطلوبة بشدة في السوق.,General
الـ 6 تراكات التكنولوجية في DEPI إيه هي؟,التراكات هي: Software Development، Digital Art، AI & Data Science، Data Analytics، Infrastructure & Security، وManagement & ERP.,General
كل تراك تكنولوجي في DEPI بيقدم إيه بالظبط؟,كل تراك بيقدم كورسات تدريبية لتقنيات بتستخدمها شركات كتير في المجال ده، وكل كورس بيغطي فرصة وظيفية محددة (job profile).,General
إيه هي أهداف دراسة كل job profile في DEPI؟,الأهداف إنها تدي المتدرب الخلفية التقنية والخبرة اللازمة للتقنية المختارة، وتوجهه لتطوير منتج بجودة احترافية، وتشرحله مراحل دورة حياة تطوير المنتج زي التخطيط والتصميم والتطوير والاختبار، وتديله تدريب عملي (hands-on) يعمق فهمه للتقنيات.,General
تراك Software Development في DEPI بيغطي إيه؟,بيقدم كورسات في تقنيات تطوير الويب (فرونت إند وباك إند) على منصات مختلفة، وتطوير الموبايل، وتطوير تطبيقات الكلاود، والـ DevOps، وSoftware Testing.,Software Development
كام job profile موجود في تراك Software Development؟,في 8 وظائف: DevOps Engineer، AWS Cloud Specialist، React Web Developer، Frontend Developer، Mobile App Developer، .Net Web Developer، PHP Web Developer، وSoftware Tester.,Software Development
مين الـ DevOps Engineer وهو بيعمل إيه في DEPI؟,DevOps Engineer مسؤول عن تسهيل تشغيل البنية التحتية لتكنولوجيا المعلومات في الشركة، وبيجمع بين مهام تقنية وإدارية زي بناء أدوات التطوير، تنفيذ التكاملات، نشر التحديثات، وأتمتة العمليات.,Software Development
عدد ساعات تراك DevOps Engineer في DEPI كام؟,إجمالي عدد الساعات لتراك DevOps Engineer هو 162 ساعة.,Software Development
أول كورس هتاخده في تراك DevOps Engineer؟,"أول كورس في الخطة الدراسية لـ DevOps Engineer هو ""DevOps Perquisites"".",Software Development
مين الـ AWS Cloud Specialist وهو بيعمل إيه في DEPI؟,AWS Cloud Specialist مسؤول عن إعداد وصيانة وتطوير البنية التحتية السحابية لتطبيقات الويب، ولازم يكون فاهم خدمات AWS الأساسية وقادر على إنشاء وإدارة البنية التحتية بتاعتها.,Software Development
عدد ساعات تراك AWS Cloud Specialist في DEPI كام؟,إجمالي عدد الساعات لتراك AWS Cloud Specialist هو 160 ساعة.,Software Development
أول كورس هتاخده في تراك AWS Cloud Specialist؟,"أول كورس في الخطة الدراسية لـ AWS Cloud Specialist هو ""AWS Cloud Foundations"".",Software Development
مين الـ React Web Developer وهو بيعمل إيه في DEPI؟,React Web Developer مسؤول عن تصميم وتطوير وصيانة تطبيقات سوفت وير متكاملة، والكورسات بتغطي الكلاود هوستينج وتطوير الفرونت إند والباك إند.,Software Development
عدد ساعات تراك React Web Developer في DEPI كام؟,إجمالي عدد الساعات لتراك React Web Developer هو 164 ساعة.,Software Development
أول كورس هتاخده في تراك React Web Developer؟,"أول كورس في الخطة الدراسية لـ React Web Developer هو ""Introduction to Cloud Computing"".",Software Development
